gesture_index,method,target_element,gesture_type,start_x,start_y,end_x,end_y,timestamp_ms,duration_ms,avg_pressure,max_pressure,touch_major,touch_minor,avg_size,max_speed_x,max_speed_y,max_speed,total_distance,max_acceleration,avg_curvature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z,linear_x,linear_y,linear_z,mag_x,mag_y,mag_z,pointer_count,trajectory_points
20,"test3","",SWIPE,733.66,827.97,638.66,301.97,1784893181169,1136,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,539.66,7912.25,0.00002730,-0.1256,3.4229,9.1711,0.002443,-0.001680,0.015272,-0.0901,3.4655,9.1770,-0.0355,-0.0426,-0.0059,-14.8474,18.1170,-20.3252,1,19
19,"test3","",SWIPE,220.66,833.97,679.66,423.97,1784893179059,1214,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,615.48,7957.77,0.00013609,0.0419,3.3416,9.2148,-0.033139,-0.000305,-0.025962,-0.0537,3.4946,9.1663,0.0956,-0.1530,0.0485,-14.8840,17.5192,-18.2512,1,19
18,"test3","",SWIPE,487.66,881.97,185.66,300.97,1784893176524,1260,0.9500,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,654.92,11283.34,0.00037922,-0.0293,3.4606,9.1334,-0.019090,0.004581,-0.026420,-0.1011,3.5114,9.1595,0.0718,-0.0508,-0.0261,-14.7498,17.3362,-19.2638,1,20
17,"test3","",SWIPE,804.14,996.05,414.66,306.97,1784893173892,1372,0.9583,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,792.05,30077.97,0.00718142,-0.0766,3.4463,9.0383,0.017257,0.041386,-0.005192,-0.0814,3.5056,9.1619,0.0049,-0.0593,-0.1236,-14.8840,17.0190,-17.7144,1,24
16,"test3","",SWIPE,434.08,865.07,758.08,530.07,1784893171764,1023,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,466.73,9855.25,1.97694778,-0.1346,3.4654,9.0855,-0.002443,0.016188,-0.025656,-0.0932,3.5048,9.1621,-0.0414,-0.0394,-0.0765,-15.6160,16.7262,-19.2394,1,17
15,"test3","",SWIPE,748.08,888.07,419.08,267.07,1784893169064,1396,0.9545,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,703.31,11051.58,0.00115944,-0.2728,3.5803,9.0281,-0.041386,-0.084147,0.000916,-0.0850,3.5264,9.1539,-0.1878,0.0539,-0.1258,-13.6274,17.7876,-17.4582,1,22
14,"test3","",SWIPE,580.08,843.07,580.08,237.07,1784893166299,1385,0.9545,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,608.63,10778.25,0.03467591,-0.0347,3.3846,9.1334,-0.024129,0.057116,-0.048411,-0.0982,3.5137,9.1586,0.0635,-0.1291,-0.0252,-15.5550,17.0556,-18.8612,1,22
13,"test3","",SWIPE,310.08,841.07,635.08,301.07,1784893163833,1259,0.9524,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,633.21,11763.95,0.02178917,-0.3368,3.4277,9.2082,0.045815,0.079565,0.008247,-0.1106,3.5244,9.1544,-0.2262,-0.0967,0.0538,-14.6522,16.8116,-18.1414,1,21
12,"test3","",SWIPE,404.08,913.07,330.08,314.07,1784893161304,1317,0.9524,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,605.35,10930.54,0.02515615,-0.3129,3.7567,8.5854,-0.071624,-0.069639,-0.011148,-0.0813,3.6649,9.0994,-0.2316,0.0919,-0.5139,-15.9332,14.8840,-21.1792,1,21
11,"test3","",SWIPE,660.33,809.50,427.08,213.07,1784893158356,1439,0.9545,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,647.68,30852.67,0.00037168,-0.2979,3.6945,8.4473,-0.031307,-0.012828,0.016341,-0.0718,3.7409,9.0684,-0.2261,-0.0464,-0.6212,-15.9454,15.4208,-20.2154,1,22
10,"test3","",SWIPE,158.19,831.49,561.33,303.50,1784893155700,1507,0.9565,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,677.90,16214.81,0.03408663,-0.0263,3.8177,8.7583,-0.009621,0.018326,-0.003207,-0.0438,3.8057,9.0416,0.0175,0.0120,-0.2833,-15.4452,15.6282,-19.4834,1,23
9,"test3","",SWIPE,359.19,913.49,263.19,396.49,1784893153595,1079,0.9444,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,525.92,7699.96,0.00061547,0.2255,3.6987,8.9928,-0.000916,0.010385,-0.035583,0.0318,3.8391,9.0275,0.1937,-0.1404,-0.0347,-16.3968,15.0670,-22.2040,1,18
8,"test3","",SWIPE,651.53,973.80,410.19,417.49,1784893151190,1259,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,608.14,36221.09,0.00823824,0.0957,3.7848,9.1729,-0.007178,0.004581,-0.019700,-0.0188,3.9066,8.9986,0.1146,-0.1218,0.1743,-15.8478,14.9694,-19.6542,1,19
7,"test3","",SWIPE,240.28,891.64,726.28,682.64,1784893149197,1204,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,539.49,6593.39,0.11121751,0.0347,3.7035,8.9252,-0.029169,0.023976,-0.008247,0.0694,3.7410,9.0684,-0.0347,-0.0375,-0.1432,-15.4086,15.9332,-17.2752,1,19
6,"test3","",SWIPE,571.28,875.64,152.28,395.64,1784893146801,1248,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,638.24,7308.37,0.00179910,-0.1579,3.7280,9.1244,0.024587,0.015577,-0.007941,-0.1033,3.8300,9.0309,-0.0547,-0.1020,0.0936,-15.9942,15.5794,-18.7514,1,19
5,"test3","",SWIPE,375.28,852.64,422.28,224.64,1784893143897,1507,0.9545,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,631.77,10531.48,0.00060853,-0.1525,3.8423,9.0054,-0.044899,-0.022297,-0.010996,-0.0752,3.8867,9.0069,-0.0774,-0.0444,-0.0015,-16.3480,15.6892,-20.4838,1,22
4,"test3","",SWIPE,650.28,912.64,392.28,376.64,1784893141613,1204,0.9474,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,595.68,11425.49,0.04876495,-0.0706,3.8423,8.9252,-0.014966,-0.002291,-0.018173,-0.0485,3.9012,9.0008,-0.0221,-0.0590,-0.0756,-15.1890,16.1650,-19.8738,1,19
3,"test3","",SWIPE,422.28,877.64,716.28,582.64,1784893139678,1036,0.9286,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,417.71,11050.84,0.01123283,-0.1089,3.9135,8.9677,0.009468,0.004429,0.012675,-0.0488,3.8984,9.0020,-0.0601,0.0150,-0.0343,-15.8478,15.5794,-19.1418,1,14
2,"test3","",SWIPE,308.50,827.50,172.50,399.50,1784893137630,967,0.9412,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,451.24,5355.77,0.00867918,-0.1035,3.8943,8.8534,0.006109,-0.013592,0.037110,-0.0487,3.9222,8.9917,-0.0548,-0.0279,-0.1382,-15.4696,15.9210,-18.6904,1,17
1,"test3","",SWIPE,544.50,874.50,544.50,489.50,1784893135763,970,0.9286,1.0000,0.00,0.00,0.0000,0.00,0.00,0.00,385.00,10522.96,0.00000000,-0.1035,3.9470,8.8917,0.015424,-0.001985,-0.027184,0.0106,3.9442,8.9822,-0.1141,0.0028,-0.0904,-14.4326,16.4578,-17.9096,1,14
